YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2025,1,1,3,10257,10397,0605,0602,-3.00,0859,0849,-10.00
2025,1,1,3,10257,10397,1413,1415,2.00,1705,1710,5.00
2025,1,1,3,10257,10821,0605,0607,2.00,0735,0734,-1.00
2025,1,1,3,10257,10821,0905,0855,-10.00,1025,1024,-1.00
2025,1,1,3,10257,10821,1210,1209,-1.00,1330,1318,-12.00
2025,1,1,3,10257,10821,1610,1610,0.00,1730,1732,2.00
2025,1,1,3,10257,11057,0510,0505,-5.00,0749,0708,-41.00
2025,1,1,3,10257,11057,1134,1157,23.00,1403,1413,10.00
2025,1,1,3,10257,11057,1611,1601,-10.00,1840,1846,6.00
2025,1,1,3,10257,11278,0556,0553,-3.00,0742,0721,-21.00
2025,1,1,3,10257,11278,1219,1211,-8.00,1359,1336,-23.00
2025,1,1,3,10257,11278,1442,1434,-8.00,1629,1559,-30.00
2025,1,1,3,10257,11298,0537,0553,16.00,0854,1028,
2025,1,1,3,10257,11433,0545,0544,-1.00,0740,0724,-16.00
2025,1,1,3,10257,11433,1715,1845,90.00,1913,2023,70.00
2025,1,1,3,10257,11697,0600,0554,-6.00,0932,0910,-22.00
2025,1,1,3,10257,11697,1045,1325,160.00,1404,1635,151.00
2025,1,1,3,10257,13204,1155,1228,33.00,1504,1543,39.00
2025,1,1,3,10257,13204,1455,1511,16.00,1800,1818,18.00
2025,1,1,3,10257,13204,2022,2028,6.00,2330,2341,11.00
2025,1,1,3,10257,13232,0735,0728,-7.00,0850,0837,-13.00
2025,1,1,3,10257,13232,1835,1826,-9.00,1950,1931,-19.00
2025,1,1,3,10257,13930,0600,0615,15.00,0741,0737,-4.00
2025,1,1,3,10257,13930,1115,1124,9.00,1307,1245,-22.00
2025,1,1,3,10257,13930,1633,1630,-3.00,1825,1814,-11.00
2025,1,1,3,10257,14082,1222,1217,-5.00,1544,1635,51.00
2025,1,1,3,10397,10257,1102,1104,2.00,1318,1315,-3.00
2025,1,1,3,10397,10257,1926,1920,-6.00,2139,2130,-9.00
2025,1,1,3,10397,10792,1100,1054,-6.00,1301,1245,-16.00
2025,1,1,3,10397,10792,1930,1926,-4.00,2132,2123,-9.00
2025,1,1,3,10397,12197,0945,0938,-7.00,1205,1150,-15.00
2025,1,1,3,10397,12197,1959,1956,-3.00,2215,2201,-14.00
2025,1,1,3,10397,12478,0618,0844,146.00,0830,1058,148.00
2025,1,1,3,10397,12478,0750,0746,-4.00,1000,0956,-4.00
2025,1,1,3,10397,12478,0920,0915,-5.00,1129,1117,-12.00
2025,1,1,3,10397,12478,0955,0954,-1.00,1212,1156,-16.00
2025,1,1,3,10397,12478,1215,1220,5.00,1427,1410,-17.00
2025,1,1,3,10397,12478,1428,1435,7.00,1645,1628,-17.00
2025,1,1,3,10397,12478,1648,1735,47.00,1908,1931,23.00
2025,1,1,3,10397,12478,1720,1714,-6.00,1949,2007,18.00
2025,1,1,3,10397,12478,2130,2156,26.00,2351,2352,1.00
2025,1,1,3,10397,12478,2135,2154,19.00,2349,2356,7.00
2025,1,1,3,10397,12953,0557,0602,5.00,0800,0752,-8.00
2025,1,1,3,10397,12953,0615,0612,-3.00,0825,0804,-21.00
2025,1,1,3,10397,12953,0800,0753,-7.00,1015,0958,-17.00
2025,1,1,3,10397,12953,0916,0932,16.00,1130,1139,9.00
2025,1,1,3,10397,12953,0930,0929,-1.00,1143,1132,-11.00
2025,1,1,3,10397,12953,1030,1029,-1.00,1242,1225,-17.00
2025,1,1,3,10397,12953,1150,1150,0.00,1355,1344,-11.00
2025,1,1,3,10397,12953,1200,1154,-6.00,1412,1348,-24.00
2025,1,1,3,10397,12953,1330,1329,-1.00,1541,1525,-16.00
2025,1,1,3,10397,12953,1530,1531,1.00,1742,1721,-21.00
2025,1,1,3,10397,12953,1600,1603,3.00,1810,1753,-17.00
2025,1,1,3,10397,12953,1930,1928,-2.00,2142,2133,-9.00
2025,1,1,3,10397,12953,2045,2042,-3.00,2255,2231,-24.00
2025,1,1,3,10397,12953,2130,2143,13.00,2341,2335,-6.00
2025,1,1,3,10397,14576,1115,1110,-5.00,1323,1310,-13.00
2025,1,1,3,10397,14576,1925,1918,-7.00,2127,2113,-14.00
2025,1,1,3,10397,15096,1100,1106,6.00,1313,1304,-9.00
2025,1,1,3,10397,15096,2052,2045,-7.00,2301,2252,-9.00
2025,1,1,3,10423,12478,0718,0719,1.00,1200,1135,-25.00
2025,1,1,3,10423,12478,0835,0828,-7.00,1318,1249,-29.00
2025,1,1,3,10423,12478,1259,1309,10.00,1748,1751,3.00
2025,1,1,3,10423,12478,1422,1420,-2.00,1905,1833,-32.00
2025,1,1,3,10693,12478,0700,0654,-6.00,1034,1016,-18.00
2025,1,1,3,10693,12478,0900,0855,-5.00,1217,1154,-23.00
2025,1,1,3,10693,12478,1048,1041,-7.00,1410,1346,-24.00
2025,1,1,3,10693,12478,1434,1434,0.00,1804,1746,-18.00
2025,1,1,3,10693,12478,1445,1506,21.00,1818,1814,-4.00
2025,1,1,3,10693,12953,0645,0644,-1.00,1005,0934,-31.00
2025,1,1,3,10693,12953,0805,0802,-3.00,1129,1103,-26.00
2025,1,1,3,10693,12953,0908,0858,-10.00,1226,1158,-28.00
2025,1,1,3,10693,12953,1135,1132,-3.00,1455,1421,-34.00
2025,1,1,3,10693,12953,1245,1239,-6.00,1608,1542,-26.00
2025,1,1,3,10693,12953,1640,1653,13.00,2000,1943,-17.00
2025,1,1,3,10693,12953,1925,1929,4.00,2240,2220,-20.00
2025,1,1,3,10721,10792,1120,1132,12.00,1300,1300,0.00
2025,1,1,3,10721,10792,2026,2235,129.00,2205,0003,118.00
2025,1,1,3,10721,12478,0605,0936,211.00,0735,1042,187.00
2025,1,1,3,10721,12478,0837,0840,3.00,0959,0951,-8.00
2025,1,1,3,10721,12478,1055,1053,-2.00,1215,1200,-15.00
